Municipality name;Official municipality code (AGS);Name of municipality ass.;Code of municipality associations (RS)
Hettstedt, Stadt;15260064;Hettstedt, Stadt;150870220.0
Eisleben, Lutherstadt;15260011;Eisleben, Lutherstadt;150870130.0
Eisleben, Lutherstadt;15260017;Eisleben, Lutherstadt;150870130.0
Eisleben, Lutherstadt;15260028;Eisleben, Lutherstadt;150870130.0
Eisleben, Lutherstadt;15260043;Eisleben, Lutherstadt;150870130.0
Eisleben, Lutherstadt;15260053;Eisleben, Lutherstadt;150870130.0
Ahlsdorf;15260002;Mansfelder Grund-Helbra;150875052.0
Benndorf;15260009;Mansfelder Grund-Helbra;150875052.0
Bornstedt;15260012;Mansfelder Grund-Helbra;150875052.0
Helbra;15260030;Mansfelder Grund-Helbra;150875052.0
Hergisdorf;15260031;Mansfelder Grund-Helbra;150875052.0
Wimmelburg;15260069;Mansfelder Grund-Helbra;150875052.0
Südharz;15266002;Südharz;150870412.0
Südharz;15266007;Südharz;150870412.0
Südharz;15266008;Südharz;150870412.0
Südharz;15266010;Südharz;150870412.0
Südharz;15266011;Südharz;150870412.0
Südharz;15266018;Südharz;150870412.0
Südharz;15266019;Südharz;150870412.0
Südharz;15266024;Südharz;150870412.0
Südharz;15266035;Südharz;150870412.0
Südharz;15266038;Südharz;150870412.0
Südharz;15266040;Südharz;150870412.0
Südharz;15266042;Südharz;150870412.0
Südharz;15266044;Südharz;150870412.0
Südharz;15266046;Südharz;150870412.0
Südharz;15266049;Südharz;150870412.0
Seegebiet Mansfelder Land;15260004;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260007;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260016;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260018;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260034;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260038;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260042;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260049;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260054;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260058;Seegebiet Mansfelder Land;150870386.0
Seegebiet Mansfelder Land;15260065;Seegebiet Mansfelder Land;150870386.0
Mansfeld, Stadt;15260001;Mansfeld, Stadt;150870275.0
Arnstein, Stadt;15260003;Arnstein, Stadt;150870031.0
Arnstein, Stadt;15260006;Arnstein, Stadt;150870031.0
Arnstein, Stadt;15260013;Arnstein, Stadt;150870031.0
Mansfeld, Stadt;15260014;Mansfeld, Stadt;150870275.0
Mansfeld, Stadt;15260022;Mansfeld, Stadt;150870275.0
Arnstein, Stadt;15260025;Arnstein, Stadt;150870031.0
Arnstein, Stadt;15260027;Arnstein, Stadt;150870031.0
Mansfeld, Stadt;15260032;Mansfeld, Stadt;150870275.0
Mansfeld, Stadt;15260041;Mansfeld, Stadt;150870275.0
Arnstein, Stadt;15260046;Arnstein, Stadt;150870031.0
Mansfeld, Stadt;15260048;Mansfeld, Stadt;150870275.0
Arnstein, Stadt;15260052;Arnstein, Stadt;150870031.0
Arnstein, Stadt;15260057;Arnstein, Stadt;150870031.0
Arnstein, Stadt;15260059;Arnstein, Stadt;150870031.0
Arnstein, Stadt;15260060;Arnstein, Stadt;150870031.0
Arnstein, Stadt;15260066;Arnstein, Stadt;150870031.0
Arnstein, Stadt;15260068;Arnstein, Stadt;150870031.0
Sangerhausen, Stadt;15260070;Sangerhausen, Stadt;150870370.0
Braunsbedra, Stadt;15261008;Braunsbedra, Stadt;150880065.0
Kabelsketal;15265058;Kabelsketal;150880150.0
Querfurt, Stadt;15261045;Querfurt, Stadt;150880305.0
Schkopau;15261051;Schkopau;150880330.0
Bad Dürrenberg, Stadt;15261003;Bad Dürrenberg, Stadt;150880020.0
Bad Dürrenberg, Stadt;15261040;Bad Dürrenberg, Stadt;150880020.0
Bad Dürrenberg, Stadt;15261043;Bad Dürrenberg, Stadt;150880020.0
Leuna, Stadt;15261054;Leuna, Stadt;150880205.0
Bad Dürrenberg, Stadt;15261056;Bad Dürrenberg, Stadt;150880020.0
Bad Lauchstädt, Goethestadt;15261004;Bad Lauchstädt, Goethestadt;150880025.0
Bad Lauchstädt, Goethestadt;15261024;Bad Lauchstädt, Goethestadt;150880025.0
Bad Lauchstädt, Goethestadt;15261038;Bad Lauchstädt, Goethestadt;150880025.0
Petersberg;15265004;Petersberg;150880295.0
Petersberg;15265059;Petersberg;150880295.0
Petersberg;15265024;Petersberg;150880295.0
Petersberg;15265025;Petersberg;150880295.0
Petersberg;15265032;Petersberg;150880295.0
Petersberg;15265038;Petersberg;150880295.0
Petersberg;15265040;Petersberg;150880295.0
Bad Lauchstädt, Goethestadt;15261010;Bad Lauchstädt, Goethestadt;150880025.0
Bad Lauchstädt, Goethestadt;15261050;Bad Lauchstädt, Goethestadt;150880025.0
Leuna, Stadt;15261015;Leuna, Stadt;150880205.0
Leuna, Stadt;15261022;Leuna, Stadt;150880205.0
Leuna, Stadt;15261023;Leuna, Stadt;150880205.0
Leuna, Stadt;15261026;Leuna, Stadt;150880205.0
Leuna, Stadt;15261027;Leuna, Stadt;150880205.0
Leuna, Stadt;15261033;Leuna, Stadt;150880205.0
Leuna, Stadt;15261047;Leuna, Stadt;150880205.0
Schkopau;15261058;Schkopau;150880330.0
Leuna, Stadt;15261062;Leuna, Stadt;150880205.0
Leuna, Stadt;15261063;Leuna, Stadt;150880205.0
Merseburg, Stadt;15261006;Merseburg, Stadt;150880220.0
Merseburg, Stadt;15261017;Merseburg, Stadt;150880220.0
Merseburg, Stadt;15261036;Merseburg, Stadt;150880220.0
Mücheln (Geiseltal), Stadt;15261039;Mücheln (Geiseltal), Stadt;150880235.0
Mücheln (Geiseltal), Stadt;15261044;Mücheln (Geiseltal), Stadt;150880235.0
Landsberg, Stadt;15265006;Landsberg, Stadt;150880195.0
Landsberg, Stadt;15265020;Landsberg, Stadt;150880195.0
Landsberg, Stadt;15265026;Landsberg, Stadt;150880195.0
Landsberg, Stadt;15265036;Landsberg, Stadt;150880195.0
Landsberg, Stadt;15265037;Landsberg, Stadt;150880195.0
Landsberg, Stadt;15265039;Landsberg, Stadt;150880195.0
Landsberg, Stadt;15265047;Landsberg, Stadt;150880195.0
Wettin-Löbejün, Stadt;15265005;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265008;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265012;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265011;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265015;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265030;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265033;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265035;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265041;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265044;Wettin-Löbejün, Stadt;150880216.0
Wettin-Löbejün, Stadt;15265055;Wettin-Löbejün, Stadt;150880216.0
Steigra;15261001;Weida-Land;150885051.0
Farnstädt;15261002;Weida-Land;150885051.0
Barnstädt;15261005;Weida-Land;150885051.0
Obhausen;15261012;Weida-Land;150885051.0
Farnstädt;15261013;Weida-Land;150885051.0
Nemsdorf-Göhrendorf;15261041;Weida-Land;150885051.0
Obhausen;15261042;Weida-Land;150885051.0
Schraplau, Stadt;15261053;Weida-Land;150885051.0
Steigra;15261055;Weida-Land;150885051.0
Salzatal;15265002;Salzatal;150880319.0
Salzatal;15265003;Salzatal;150880319.0
Salzatal;15265014;Salzatal;150880319.0
Salzatal;15265023;Salzatal;150880319.0
Salzatal;15265028;Salzatal;150880319.0
Salzatal;15265045;Salzatal;150880319.0
Salzatal;15265046;Salzatal;150880319.0
Salzatal;15265056;Salzatal;150880319.0
Teutschenthal;15265001;Teutschenthal;150880365.0
Teutschenthal;15265013;Teutschenthal;150880365.0
Salzatal;15265019;Salzatal;150880319.0
Teutschenthal;15265027;Teutschenthal;150880365.0
Teutschenthal;15265051;Teutschenthal;150880365.0
Teutschenthal;15265053;Teutschenthal;150880365.0
Calbe (Saale), Stadt;15367006;Calbe (Saale), Stadt;150890055.0
Staßfurt, Stadt;15367009;Staßfurt, Stadt;150890310.0
Könnern, Stadt;15153016;Könnern, Stadt;150890195.0
Aschersleben, Stadt;15352002;Aschersleben, Stadt;150890015.0
Aschersleben, Stadt;15352005;Aschersleben, Stadt;150890015.0
Aschersleben, Stadt;15352010;Aschersleben, Stadt;150890015.0
Aschersleben, Stadt;15352016;Aschersleben, Stadt;150890015.0
Aschersleben, Stadt;15352023;Aschersleben, Stadt;150890015.0
Aschersleben, Stadt;15352032;Aschersleben, Stadt;150890015.0
Aschersleben, Stadt;15352038;Aschersleben, Stadt;150890015.0
Bernburg (Saale), Stadt;15153006;Bernburg (Saale), Stadt;150890030.0
Bernburg (Saale), Stadt;15153013;Bernburg (Saale), Stadt;150890030.0
Borne;15352003;Egelner Mulde;150895051.0
Egeln, Stadt;15352006;Egelner Mulde;150895051.0
Börde-Hakel;15352009;Egelner Mulde;150895051.0
Börde-Hakel;15352017;Egelner Mulde;150895051.0
Bördeaue;15352036;Egelner Mulde;150895051.0
Bördeaue;15352037;Egelner Mulde;150895051.0
Börde-Hakel;15352039;Egelner Mulde;150895051.0
Wolmirsleben;15352043;Egelner Mulde;150895051.0
Barby, Stadt;15367002;Barby, Stadt;150890026.0
Barby, Stadt;15367004;Barby, Stadt;150890026.0
Barby, Stadt;15367010;Barby, Stadt;150890026.0
Barby, Stadt;15367012;Barby, Stadt;150890026.0
Barby, Stadt;15367014;Barby, Stadt;150890026.0
Barby, Stadt;15367017;Barby, Stadt;150890026.0
Barby, Stadt;15367019;Barby, Stadt;150890026.0
Barby, Stadt;15367022;Barby, Stadt;150890026.0
Barby, Stadt;15367025;Barby, Stadt;150890026.0
Barby, Stadt;15367028;Barby, Stadt;150890026.0
Barby, Stadt;15367030;Barby, Stadt;150890026.0
Bernburg (Saale), Stadt;15153003;Bernburg (Saale), Stadt;150890030.0
Bernburg (Saale), Stadt;15153007;Bernburg (Saale), Stadt;150890030.0
Könnern, Stadt;15153008;Könnern, Stadt;150890195.0
Könnern, Stadt;15153009;Könnern, Stadt;150890195.0
Nienburg (Saale), Stadt;15153010;Nienburg (Saale), Stadt;150890235.0
Könnern, Stadt;15153011;Könnern, Stadt;150890195.0
Nienburg (Saale), Stadt;15153017;Nienburg (Saale), Stadt;150890235.0
Nienburg (Saale), Stadt;15153019;Nienburg (Saale), Stadt;150890235.0
Nienburg (Saale), Stadt;15153020;Nienburg (Saale), Stadt;150890235.0
Bernburg (Saale), Stadt;15153021;Bernburg (Saale), Stadt;150890030.0
Nienburg (Saale), Stadt;15153023;Nienburg (Saale), Stadt;150890235.0
Bernburg (Saale), Stadt;15153024;Bernburg (Saale), Stadt;150890030.0
Bernburg (Saale), Stadt;15153025;Bernburg (Saale), Stadt;150890030.0
Nienburg (Saale), Stadt;15153029;Nienburg (Saale), Stadt;150890235.0
Könnern, Stadt;15153030;Könnern, Stadt;150890195.0
Bernburg (Saale), Stadt;15153031;Bernburg (Saale), Stadt;150890030.0
Alsleben (Saale), Stadt;15153002;Saale-Wipper;150895052.0
Güsten, Stadt;15153014;Saale-Wipper;150895052.0
Ilberstedt;15153015;Saale-Wipper;150895052.0
Plötzkau;15153022;Saale-Wipper;150895052.0
Aschersleben, Stadt;15153026;Aschersleben, Stadt;150890015.0
Schönebeck (Elbe), Stadt;15367018;Schönebeck (Elbe), Stadt;150890305.0
Schönebeck (Elbe), Stadt;15367020;Schönebeck (Elbe), Stadt;150890305.0
Schönebeck (Elbe), Stadt;15367021;Schönebeck (Elbe), Stadt;150890305.0
Schönebeck (Elbe), Stadt;15367023;Schönebeck (Elbe), Stadt;150890305.0
Seeland, Stadt;15352011;Seeland, Stadt;150890307.0
Seeland, Stadt;15352012;Seeland, Stadt;150890307.0
Seeland, Stadt;15352013;Seeland, Stadt;150890307.0
Seeland, Stadt;15352020;Seeland, Stadt;150890307.0
Seeland, Stadt;15352025;Seeland, Stadt;150890307.0
Aschersleben, Stadt;15352026;Aschersleben, Stadt;150890015.0
Seeland, Stadt;15352033;Seeland, Stadt;150890307.0
Giersleben;15352014;Saale-Wipper;150895052.0
Hecklingen, Stadt;15352018;Hecklingen, Stadt;150890175.0
Güsten, Stadt;15352001;Saale-Wipper;150895052.0
Staßfurt, Stadt;15352027;Staßfurt, Stadt;150890310.0
Staßfurt, Stadt;15352035;Staßfurt, Stadt;150890310.0
Bördeland;15367003;Bördeland;150890042.0
Bördeland;15367007;Bördeland;150890042.0
Bördeland;15367008;Bördeland;150890042.0
Bördeland;15367013;Bördeland;150890042.0
Bördeland;15367015;Bördeland;150890042.0
Bördeland;15367027;Bördeland;150890042.0
Bördeland;15367029;Bördeland;150890042.0
Havelberg, Hansestadt;15363047;Havelberg, Hansestadt;150900225.0
Hohenberg-Krusemark;15363001;Arneburg-Goldbeck;150905051.0
Arneburg, Stadt;15363002;Arneburg-Goldbeck;150905051.0
Eichstedt (Altmark);15363004;Arneburg-Goldbeck;150905051.0
Arneburg, Stadt;15363007;Arneburg-Goldbeck;150905051.0
Werben (Elbe), Hansestadt;15363008;Arneburg-Goldbeck;150905051.0
Goldbeck;15363011;Arneburg-Goldbeck;150905051.0
Eichstedt (Altmark);15363028;Arneburg-Goldbeck;150905051.0
Goldbeck;15363038;Arneburg-Goldbeck;150905051.0
Hassel;15363046;Arneburg-Goldbeck;150905051.0
Hohenberg-Krusemark;15363051;Arneburg-Goldbeck;150905051.0
Iden;15363056;Arneburg-Goldbeck;150905051.0
Rochau;15363065;Arneburg-Goldbeck;150905051.0
Eichstedt (Altmark);15363076;Arneburg-Goldbeck;150905051.0
Rochau;15363093;Arneburg-Goldbeck;150905051.0
Iden;15363096;Arneburg-Goldbeck;150905051.0
Hassel;15363097;Arneburg-Goldbeck;150905051.0
Hohenberg-Krusemark;15363109;Arneburg-Goldbeck;150905051.0
Werben (Elbe), Hansestadt;15363131;Arneburg-Goldbeck;150905051.0
Bismark (Altmark), Stadt;15363005;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363010;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363015;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363022;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363026;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363034;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363040;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363053;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363054;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363061;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363064;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363068;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363070;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363082;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363091;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363098;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363101;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363102;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363108;Bismark (Altmark), Stadt;150900070.0
Bismark (Altmark), Stadt;15363113;Bismark (Altmark), Stadt;150900070.0
Wust-Fischbeck;15363031;Elbe-Havel-Land;150905052.0
Schönhausen (Elbe);15363052;Elbe-Havel-Land;150905052.0
Kamern;15363062;Elbe-Havel-Land;150905052.0
Klietz;15363066;Elbe-Havel-Land;150905052.0
Klietz;15363086;Elbe-Havel-Land;150905052.0
Sandau (Elbe), Stadt;15363095;Elbe-Havel-Land;150905052.0
Schollene;15363107;Elbe-Havel-Land;150905052.0
Kamern;15363104;Elbe-Havel-Land;150905052.0
Schönhausen (Elbe);15363105;Elbe-Havel-Land;150905052.0
Kamern;15363134;Elbe-Havel-Land;150905052.0
Wust-Fischbeck;15363135;Elbe-Havel-Land;150905052.0
Osterburg (Altmark), Hansestadt;15363006;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363027;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363029;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363032;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363037;Osterburg (Altmark), Hansestadt;150900415.0
Hohenberg-Krusemark;15363050;Arneburg-Goldbeck;150905051.0
Osterburg (Altmark), Hansestadt;15363067;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363071;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363081;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363089;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363094;Osterburg (Altmark), Hansestadt;150900415.0
Osterburg (Altmark), Hansestadt;15363126;Osterburg (Altmark), Hansestadt;150900415.0
Aland;15363003;Seehausen (Altmark);150905053.0
Seehausen (Altmark), Hansestadt;15363012;Seehausen (Altmark);150905053.0
Altmärkische Höhe;15363018;Seehausen (Altmark);150905053.0
Altmärkische Höhe;15363019;Seehausen (Altmark);150905053.0
Altmärkische Wische;15363030;Seehausen (Altmark);150905053.0
Altmärkische Höhe;15363033;Seehausen (Altmark);150905053.0
Seehausen (Altmark), Hansestadt;15363036;Seehausen (Altmark);150905053.0
Zehrental;15363039;Seehausen (Altmark);150905053.0
Zehrental;15363043;Seehausen (Altmark);150905053.0
Altmärkische Höhe;15363049;Seehausen (Altmark);150905053.0
Altmärkische Höhe;15363069;Seehausen (Altmark);150905053.0
Aland;15363072;Seehausen (Altmark);150905053.0
Altmärkische Wische;15363075;Seehausen (Altmark);150905053.0
Seehausen (Altmark), Hansestadt;15363077;Seehausen (Altmark);150905053.0
Altmärkische Höhe;15363078;Seehausen (Altmark);150905053.0
Altmärkische Höhe;15363079;Seehausen (Altmark);150905053.0
Altmärkische Wische;15363087;Seehausen (Altmark);150905053.0
Aland;15363090;Seehausen (Altmark);150905053.0
Seehausen (Altmark), Hansestadt;15363103;Seehausen (Altmark);150905053.0
Seehausen (Altmark), Hansestadt;15363110;Seehausen (Altmark);150905053.0
Aland;15363125;Seehausen (Altmark);150905053.0
Aland;15363127;Seehausen (Altmark);150905053.0
Altmärkische Wische;15363130;Seehausen (Altmark);150905053.0
Stendal, Hansestadt;15363021;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363024;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363044;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363048;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363057;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363084;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363085;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363111;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363114;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363119;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363120;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363123;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363124;Stendal, Hansestadt;150900535.0
Stendal, Hansestadt;15363133;Stendal, Hansestadt;150900535.0
Tangerhütte, Stadt;15363009;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363014;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363016;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363023;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363025;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363041;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363055;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363060;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363063;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363080;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363092;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363100;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363106;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363116;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363118;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363121;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363129;Tangerhütte, Stadt;150900546.0
Tangerhütte, Stadt;15363132;Tangerhütte, Stadt;150900546.0
Tangermünde, Stadt;15363017;Tangermünde, Stadt;150900550.0
Tangermünde, Stadt;15363020;Tangermünde, Stadt;150900550.0
Tangermünde, Stadt;15363042;Tangermünde, Stadt;150900550.0
Tangermünde, Stadt;15363045;Tangermünde, Stadt;150900550.0
Tangermünde, Stadt;15363074;Tangermünde, Stadt;150900550.0
Tangermünde, Stadt;15363083;Tangermünde, Stadt;150900550.0
Tangerhütte, Stadt;15363099;Tangerhütte, Stadt;150900546.0
Tangermünde, Stadt;15363115;Tangermünde, Stadt;150900550.0
Tangermünde, Stadt;15363117;Tangermünde, Stadt;150900550.0
Jessen (Elster), Stadt;15171026;Jessen (Elster), Stadt;150910145.0
Wittenberg, Lutherstadt;15171077;Wittenberg, Lutherstadt;150910375.0
Annaburg, Stadt;15171002;Annaburg, Stadt;150910010.0
Annaburg, Stadt;15171005;Annaburg, Stadt;150910010.0
Annaburg, Stadt;15171009;Annaburg, Stadt;150910010.0
Annaburg, Stadt;15171024;Annaburg, Stadt;150910010.0
Annaburg, Stadt;15171034;Annaburg, Stadt;150910010.0
Annaburg, Stadt;15171035;Annaburg, Stadt;150910010.0
Annaburg, Stadt;15171051;Annaburg, Stadt;150910010.0
Annaburg, Stadt;15171053;Annaburg, Stadt;150910010.0
Coswig (Anhalt), Stadt;15151003;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151007;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151008;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151009;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151013;Coswig (Anhalt), Stadt;150910060.0
Wittenberg, Lutherstadt;15151017;Wittenberg, Lutherstadt;150910375.0
Coswig (Anhalt), Stadt;15151024;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151025;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151028;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151029;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151038;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151047;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151055;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151056;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151057;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151061;Coswig (Anhalt), Stadt;150910060.0
Coswig (Anhalt), Stadt;15151065;Coswig (Anhalt), Stadt;150910060.0
Wittenberg, Lutherstadt;15171001;Wittenberg, Lutherstadt;150910375.0
Wittenberg, Lutherstadt;15171010;Wittenberg, Lutherstadt;150910375.0
Zahna-Elster, Stadt;15171011;Zahna-Elster, Stadt;150910391.0
Zahna-Elster, Stadt;15171014;Zahna-Elster, Stadt;150910391.0
Zahna-Elster, Stadt;15171017;Zahna-Elster, Stadt;150910391.0
Zahna-Elster, Stadt;15171019;Zahna-Elster, Stadt;150910391.0
Jessen (Elster), Stadt;15171031;Jessen (Elster), Stadt;150910145.0
Wittenberg, Lutherstadt;15171033;Wittenberg, Lutherstadt;150910375.0
Zahna-Elster, Stadt;15171036;Zahna-Elster, Stadt;150910391.0
Zahna-Elster, Stadt;15171039;Zahna-Elster, Stadt;150910391.0
Wittenberg, Lutherstadt;15171043;Wittenberg, Lutherstadt;150910375.0
Zahna-Elster, Stadt;15171047;Zahna-Elster, Stadt;150910391.0
Jessen (Elster), Stadt;15171048;Jessen (Elster), Stadt;150910145.0
Jessen (Elster), Stadt;15171068;Jessen (Elster), Stadt;150910145.0
Wittenberg, Lutherstadt;15171072;Wittenberg, Lutherstadt;150910375.0
Zahna-Elster, Stadt;15171078;Zahna-Elster, Stadt;150910391.0
Zahna-Elster, Stadt;15171079;Zahna-Elster, Stadt;150910391.0
Zahna-Elster, Stadt;15171080;Zahna-Elster, Stadt;150910391.0
Kemberg, Stadt;15171013;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171018;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171028;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171057;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171059;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171062;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171065;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171069;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171075;Kemberg, Stadt;150910160.0
Kemberg, Stadt;15171076;Kemberg, Stadt;150910160.0
Bad Schmiedeberg, Stadt;15171006;Bad Schmiedeberg, Stadt;150910020.0
Kemberg, Stadt;15171021;Kemberg, Stadt;150910160.0
Bad Schmiedeberg, Stadt;15171032;Bad Schmiedeberg, Stadt;150910020.0
Bad Schmiedeberg, Stadt;15171042;Bad Schmiedeberg, Stadt;150910020.0
Bad Schmiedeberg, Stadt;15171054;Bad Schmiedeberg, Stadt;150910020.0
Bad Schmiedeberg, Stadt;15171055;Bad Schmiedeberg, Stadt;150910020.0
Bad Schmiedeberg, Stadt;15171067;Bad Schmiedeberg, Stadt;150910020.0
Bad Schmiedeberg, Stadt;15171071;Bad Schmiedeberg, Stadt;150910020.0
Bad Schmiedeberg, Stadt;15171074;Bad Schmiedeberg, Stadt;150910020.0
Gräfenhainichen, Stadt;15171023;Gräfenhainichen, Stadt;150910110.0
Gräfenhainichen, Stadt;15171044;Gräfenhainichen, Stadt;150910110.0
Gräfenhainichen, Stadt;15171064;Gräfenhainichen, Stadt;150910110.0
Gräfenhainichen, Stadt;15171073;Gräfenhainichen, Stadt;150910110.0
Gräfenhainichen, Stadt;15171081;Gräfenhainichen, Stadt;150910110.0
Oranienbaum-Wörlitz, Stadt;15151005;Oranienbaum-Wörlitz, Stadt;150910241.0
Oranienbaum-Wörlitz, Stadt;15151016;Oranienbaum-Wörlitz, Stadt;150910241.0
Oranienbaum-Wörlitz, Stadt;15151018;Oranienbaum-Wörlitz, Stadt;150910241.0
Oranienbaum-Wörlitz, Stadt;15151023;Oranienbaum-Wörlitz, Stadt;150910241.0
Oranienbaum-Wörlitz, Stadt;15151027;Oranienbaum-Wörlitz, Stadt;150910241.0
